Season,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
2024,"Chris Sale","ATL",18,3,0,29,29,177.2,11.397749245462858,1.975609869213562,0.4559099698185143,0.31353919239904987,0.7981756,0.448356807,0.062937062,94.94208480046949,2.380863175718908,,2.0858042942755386,2.6442501166237466,6.410311222076416,"Chris Sale",10603,519242
2022,"Aaron Nola","PHI",11,13,0,32,32,205,10.317073170731707,1.273170731707317,0.8341463414634146,0.28932038834951457,0.73021182,0.43560606,0.098445595,92.92222055288461,3.2487804878048783,,2.5807236845900374,2.769559269780066,6.29971981048584,"Aaron Nola",16149,605400
2022,"Carlos Rodón","SFG",14,8,0,31,31,178,11.98314606741573,2.6292134831460676,0.6067415730337079,0.29310344827586204,0.75059102,0.341404358,0.065217391,95.45985932365826,2.8820224719101124,,2.2528804398654554,2.9067454417100116,6.233349800109863,"Carlos Rodon",16137,607074
2022,"Justin Verlander","HOU",18,4,0,28,28,175,9.514285714285714,1.4914285714285713,0.6171428571428571,0.23963133640552994,0.804769,0.379232505,0.062176165,95.09869296577946,1.7485714285714287,,2.4895738588060654,3.230781258600099,6.057393550872803,"Justin Verlander",8700,434378
2023,"Zack Wheeler","PHI",13,6,0,32,32,192,9.9375,1.828125,0.9375,0.29191321499013806,0.71276596,0.41221374,0.0990099,95.9622281615497,3.609375,,3.1508736928304044,3.536170850632092,5.931493282318115,"Zack Wheeler",10310,554430
2022,"Sandy Alcantara","MIA",14,9,0,32,32,228.2,8.147230683139576,1.9679301167003806,0.6297376373441218,0.26158940397350994,0.78822412,0.534201954,0.085106382,97.95842391304348,2.2827989353724414,,2.9856088385869612,3.293084572137847,5.920348167419434,"Sandy Alcantara",18684,645261
2024,"Tarik Skubal","DET",18,4,0,31,31,192,10.6875,1.640625,0.703125,0.27253218884120173,0.8,0.45702306,0.087719298,96.99477782943677,2.390625,,2.4946047782897955,2.8256122650811455,5.860317230224609,"Tarik Skubal",22267,669373
2022,"Shohei Ohtani","LAA",15,9,0,28,28,166,11.873493975903614,2.3855421686746987,0.7590361445783133,0.2887139107611549,0.83111702,0.418781725,0.092715231,97.3578060522696,2.3313253012048194,,2.4015876281692323,2.65180317032409,5.59633207321167,"Shohei Ohtani",19755,660271
2022,"Kevin Gausman","TOR",12,10,0,31,31,174.2,10.562977714420796,1.4427481756282063,0.7729008083722534,0.3634453781512605,0.73979592,0.392197125,0.085227272,94.94010033136966,3.349236836279765,,2.3796065315028496,2.754864273376801,5.547391414642334,"Kevin Gausman",14107,592332
2023,"Spencer Strider","ATL",20,5,0,32,32,186.2,13.54821502403341,2.796428723821843,1.0607143435186301,0.3155216284987277,0.7025247,0.34057971,0.121546961,97.3760989010989,3.857143067340473,,2.853254623315771,2.9242724886054283,5.465874195098877,"Spencer Strider",27498,675911
