Season,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
2024,"Paul Goldschmidt","STL",154,654,22,70,65,11,0.071865443,0.264525993,0.168614357,0.307881773,0.245409015,0.301538461,0.414023372,-0.3147359207215428,-10.6699880361557,1.1147932291900078,"Paul Goldschmidt",9218,502671
2024,"Starling Marte","NYM",94,370,7,46,40,16,0.072972972,0.218918918,0.119402985,0.333333333,0.268656716,0.326975476,0.388059701,3.8336103594737043,-10.129862785339355,0.6222604553306732,"Starling Marte",9241,516782
2024,"Yan Gomes","CHC",34,96,2,7,7,0,0.020833333,0.375,0.087912088,0.222222222,0.153846153,0.178947368,0.241758241,-9.673767711491962,-4.958929777145386,-1.1810636158894439,"Yan Gomes",9627,543228
2024,"Christian Vázquez","MIN",93,315,7,29,27,3,0.034920634,0.206349206,0.105442177,0.256637168,0.221088435,0.248387096,0.326530612,-16.826034538129328,14.067517280578613,0.7995940565662256,"Christian Vazquez",9774,543877
2024,"Nolan Arenado","STL",152,635,16,70,71,2,0.069291338,0.144881889,0.12283737,0.295597484,0.271626297,0.324921135,0.394463667,-0.37815307714461444,9.609552145004272,3.137322734875593,"Nolan Arenado",9777,571448
2024,"Andrew McCutchen","PIT",120,515,20,66,50,3,0.112621359,0.258252427,0.178571428,0.282828282,0.232142857,0.328155339,0.410714285,0.5235915178127906,-12.958728790283203,0.48694185553662317,"Andrew McCutchen",9847,457705
2024,"DJ LeMahieu","NYY",67,228,2,19,26,0,0.083333333,0.153508771,0.054726368,0.229411764,0.203980099,0.268722466,0.258706467,-14.81654401131664,2.3606131076812744,-0.5014579145514861,"DJ LeMahieu",9874,518934
2024,"Christian Bethancourt","- - -",62,147,5,18,22,3,0.034013605,0.244897959,0.158273381,0.244897959,0.208633093,0.24137931,0.366906474,-5.533046944982395,2.7563915252685547,0.2188033250679935,"Christian Bethancourt",10028,542194
2024,"Mike Trout","LAA",29,126,10,17,14,6,0.126984126,0.214285714,0.321100917,0.194444444,0.220183486,0.325396825,0.541284403,6.864783709007214,-1.5337688773870468,0.9843700905865987,"Mike Trout",10155,545361
2024,"Tucker Barnhart","ARI",31,96,0,13,6,1,0.135416666,0.322916666,0.037037037,0.28,0.172839506,0.287234042,0.209876543,-5.802505805855752,-1.6809714436531067,-0.442708381273495,"Tucker Barnhart",10200,571466
2024,"Jose Iglesias","NYM",85,291,4,39,26,6,0.041237113,0.134020618,0.111111111,0.381578947,0.337037037,0.381443298,0.448148148,12.592244162581588,2.3324368000030518,2.5422093950005404,"Jose Iglesias",10231,578428
2024,"Randal Grichuk","ARI",106,279,12,40,46,0,0.071684587,0.164874551,0.236220473,0.313131313,0.291338582,0.34767025,0.527559055,13.642249415808548,-7.991124153137207,1.5431865973040453,"Randal Grichuk",10243,545341
2024,"Rafael Ortega","CHW",14,17,0,4,1,2,0.117647058,0.235294117,0,0.09090909,0.071428571,0.176470588,0.071428571,-2.0202687693234016,-0.11105386912822723,-0.16159026866879062,"Rafael Ortega",10323,542364
2024,"Marcell Ozuna","ATL",162,688,39,96,104,1,0.107558139,0.247093023,0.244224422,0.359102244,0.301980198,0.378457059,0.54620462,39.842098786477294,-17.5,4.67364637260416,"Marcell Ozuna",10324,542303
2024,"Jon Singleton","HOU",119,405,13,46,42,0,0.116049382,0.274074074,0.152112676,0.299145299,0.233802816,0.320987654,0.385915492,-1.7846422458023312,-12.35758352279663,-0.06623595389340986,"Jon Singleton",10441,572138
2024,"Enrique Hernández","LAD",126,393,12,44,42,0,0.06870229,0.195928753,0.143646409,0.257246376,0.229281767,0.280612244,0.372928176,-7.3744313525860115,1.1135385893285275,0.7050151089713362,"Enrique Hernandez",10472,571771
2024,"Rob Brantly","TBR",3,9,0,0,0,0,0,0.222222222,0,0.142857142,0.111111111,0.111111111,0.111111111,-1.5460530065352196,-0.05971820652484894,-0.13485504923693004,"Rob Brantly",10655,542963
2024,"Gio Urshela","- - -",128,461,9,34,52,0,0.04989154,0.156182212,0.111111111,0.278089887,0.25,0.286334056,0.361111111,-12.701827195292013,4.164376060478389,0.7049252839965132,"Gio Urshela",10681,570482
2024,"Jurickson Profar","SDP",158,668,24,94,85,10,0.113772455,0.151197604,0.179078015,0.301801801,0.280141843,0.380090497,0.459219858,30.552682798731922,-11.120488405227661,4.304333020566888,"Jurickson Profar",10815,595777
2024,"Adam Duvall","ATL",104,330,11,29,30,0,0.063636363,0.3,0.141914192,0.226804123,0.181518151,0.245454545,0.323432343,-16.83033124030976,-4.0059691444039345,-1.0169727519784244,"Adam Duvall",10950,594807
2024,"Kevin Kiermaier","- - -",116,281,5,31,26,6,0.042704626,0.306049822,0.115830116,0.272189349,0.196911196,0.237226277,0.312741312,-14.91235877489692,8.669137060642242,0.32241770023660965,"Kevin Kiermaier",11038,595281
2024,"Whit Merrifield","- - -",95,335,4,44,15,17,0.104477611,0.15522388,0.092150171,0.257383966,0.221843003,0.311178247,0.313993174,-5.149949584603927,-1.6754886507987976,0.4472335386152619,"Whit Merrifield",11281,593160
2024,"Yasmani Grandal","PIT",72,243,9,26,27,1,0.098765432,0.189300411,0.172093024,0.248447204,0.227906976,0.304166666,0.4,-2.645262155843668,7.68866491317749,1.3566093373063233,"Yasmani Grandal",11368,518735
2024,"Gary Sánchez","MIL",89,280,11,30,37,0,0.096428571,0.271428571,0.171428571,0.267080745,0.220408163,0.307142857,0.391836734,-2.643931621497531,-3.3538237661123276,0.34355590316166307,"Gary Sanchez",11442,596142
2024,"Mark Canha","- - -",125,462,7,46,42,7,0.11038961,0.207792207,0.1043257,0.298305084,0.241730279,0.344155844,0.346055979,2.1428701839401993,-7.846092343330383,1.001262684184887,"Mark Canha",11445,592192
2024,"Christian Yelich","MIL",73,315,11,44,42,21,0.126984126,0.184126984,0.188888889,0.366336633,0.314814814,0.405750798,0.503703703,24.54947335077534,-5.896482825279236,3.0098027814745145,"Christian Yelich",11477,592885
2024,"Michael A. Taylor","PIT",113,300,5,35,21,12,0.076666666,0.35,0.096654275,0.288343558,0.19330855,0.253378378,0.289962825,-15.363654398436967,9.555437326431274,0.43191602308227817,"Michael A. Taylor",11489,572191
2024,"Manny Machado","SDP",152,643,29,77,105,11,0.069984447,0.192846034,0.197301855,0.301801801,0.274873524,0.32503888,0.472175379,16.519123109222768,-3.4873788952827454,3.557327766416551,"Manny Machado",11493,592518
2024,"Bryce Harper","PHI",145,631,30,85,87,7,0.12044374,0.218700475,0.24,0.330729166,0.285454545,0.373015873,0.525454545,33.489307682797815,-4.281721591949463,5.186660969815826,"Bryce Harper",11579,547180
2024,"Willson Contreras","STL",84,358,15,48,36,4,0.125698324,0.268156424,0.205980067,0.336842105,0.262458471,0.379888268,0.468438538,15.551582923754275,-1.8259274661540985,2.648806623729661,"Willson Contreras",11609,575929
2024,"Brandon Drury","LAA",97,360,4,28,15,1,0.075,0.225,0.058461538,0.209876543,0.169230769,0.241666666,0.227692307,-28.94853591095246,-3.2784950733184814,-2.0889203560163865,"Brandon Drury",11615,592273
2024,"Elias Díaz","- - -",96,351,6,27,39,0,0.056980056,0.196581196,0.116923077,0.317460317,0.264615384,0.313390313,0.381538461,-10.732088211107637,4.067534733563662,0.5188773775442881,"Elias Diaz",11680,553869
2024,"Nick Castellanos","PHI",162,659,23,80,86,6,0.062215477,0.210925644,0.176567657,0.293721973,0.254125412,0.311077389,0.430693069,0.07769798854767007,-18.574753284454346,0.3561329628421924,"Nick Castellanos",11737,592206
2024,"J.T. Realmuto","PHI",99,413,14,50,47,2,0.065375302,0.246973365,0.163157895,0.328301886,0.265789473,0.322033898,0.428947368,3.727440607899955,2.2593626976013184,2.0387143846418807,"J.T. Realmuto",11739,592663
2024,"Joc Pederson","ARI",132,449,23,62,64,7,0.122494432,0.233853006,0.239782017,0.322314049,0.275204359,0.392776523,0.514986376,26.35744425996068,-12.638888359069824,2.9610452978509763,"Joc Pederson",11899,592626
2024,"Nick Martini","CIN",52,163,5,23,24,1,0.055214723,0.233128834,0.157534246,0.245283018,0.212328767,0.271604938,0.369863013,-6.599963634985876,-3.675927773118019,-0.5006727150392577,"Nick Martini",12005,605361
2024,"Jon Berti","NYY",25,74,1,10,6,5,0.081081081,0.189189189,0.045454546,0.333333333,0.272727272,0.342465753,0.318181818,0.5279397100498737,-0.5191783905029297,0.2556733309069706,"Jon Berti",12037,542932
2024,"Scott McGough","ARI",26,1,0,0,0,0,0,1,0,0,0,0,0,-0.2534731463039999,0.2194138765335083,-0.00007831240253198396,"Scott McGough",12056,543518
2024,"Niko Goodrum","- - -",13,33,0,2,0,1,0.09090909,0.303030303,0,0.157894736,0.103448275,0.1875,0.103448275,-4.422051657543276,-4.520558476448059,-0.8099594996459428,"Niko Goodrum",12092,592348
